trial_id,action,t_sent_ns,scan_ms,connect_ms,key_exchange_ms,client_encrypt_ms,client_write_ms,ack_wait_ms,command_to_ack_ms,success,error
H_0001,STAND_UP,27586940511864,298.198,5462.052,768.206,0.099,83.798,90.141,174.057,True,
H_0002,STAND_UP,27587215028048,,,,0.189,78.549,90.103,168.861,True,
H_0003,STAND_UP,27587484341401,,,,0.164,80.258,89.052,169.491,True,
H_0004,STAND_UP,27587754355642,,,,0.181,79.4,89.865,169.465,True,
H_0005,STAND_UP,27588024361044,,,,0.178,78.968,92.285,171.476,True,
H_0006,STAND_UP,27588296207004,,,,0.166,77.321,136.121,213.626,True,
H_0007,STAND_UP,27588610238642,,,,0.164,78.283,90.17,168.637,True,
H_0008,STAND_UP,27588879284459,,,,0.169,79.338,90.059,169.585,True,
H_0009,STAND_UP,27589149384949,,,,0.181,79.284,89.853,169.338,True,
H_0010,STAND_UP,27589419178691,,,,0.173,80.34,89.918,170.451,True,
H_0011,STAND_UP,27589690057349,,,,0.174,79.439,89.462,169.093,True,
H_0012,STAND_UP,27589959709843,,,,0.183,124.608,89.459,214.27,True,
H_0013,STAND_UP,27590274459004,,,,0.166,79.781,89.604,169.573,True,
H_0014,STAND_UP,27590544702592,,,,0.26,78.94,90.283,169.507,True,
H_0015,STAND_UP,27590814805887,,,,0.269,78.924,90.734,169.951,True,
H_0016,STAND_UP,27591085115124,,,,0.252,78.453,89.988,168.718,True,
H_0017,STAND_UP,27591354390259,,,,0.254,124.199,89.961,214.436,True,
H_0018,STAND_UP,27591669338026,,,,0.171,79.107,90.209,169.508,True,
H_0019,STAND_UP,27591939439318,,,,0.326,79.084,91.029,170.463,True,
H_0020,STAND_UP,27592210293843,,,,0.238,78.05,90.285,168.597,True,
H_0021,STAND_UP,27592479409837,,,,0.24,79.1,90.099,169.462,True,
H_0022,STAND_UP,27592749304780,,,,0.213,79.562,89.718,169.514,True,
H_0023,STAND_UP,27593019137002,,,,0.187,80.239,89.086,169.534,True,
H_0024,STAND_UP,27593289093637,,,,0.174,79.402,90.099,169.695,True,
H_0025,STAND_UP,27593559177823,,,,0.244,79.305,90.307,169.879,True,
H_0026,STAND_UP,27593829581950,,,,0.187,79.221,90.818,170.246,True,
H_0027,STAND_UP,27594100328373,,,,0.18,78.453,89.908,168.562,True,
H_0028,STAND_UP,27594369414595,,,,0.168,79.316,89.955,169.461,True,
H_0029,STAND_UP,27594639267360,,,,0.198,79.23,90.103,169.55,True,
H_0030,STAND_UP,27594909230791,,,,0.164,79.362,135.084,214.631,True,
H_0031,STAND_UP,27595224337900,,,,0.167,79.362,89.952,169.5,True,
H_0032,STAND_UP,27595494277487,,,,0.162,79.229,89.912,169.325,True,
H_0033,STAND_UP,27595764062714,,,,0.261,80.255,89.14,169.681,True,
H_0034,STAND_UP,27596034421950,,,,0.363,79.156,90.308,169.846,True,
H_0035,STAND_UP,27596304372815,,,,0.177,79.154,90.149,169.5,True,
H_0036,STAND_UP,27596574440154,,,,0.161,79.33,89.96,169.475,True,
H_0037,STAND_UP,27596844269399,,,,0.204,79.512,90.168,169.905,True,
H_0038,STAND_UP,27597114566494,,,,0.166,79.027,90.35,169.561,True,
H_0039,STAND_UP,27597384628571,,,,0.181,78.827,90.419,169.446,True,
H_0040,STAND_UP,27597654391569,,,,0.176,79.488,90.068,169.752,True,
H_0041,STAND_UP,27597924605403,,,,0.176,79.087,90.098,169.38,True,
H_0042,STAND_UP,27598194323919,,,,0.169,79.528,90.152,169.867,True,
H_0043,STAND_UP,27598464648808,,,,0.174,79.039,91.051,170.284,True,
H_0044,STAND_UP,27598735342874,,,,0.172,78.343,90.157,168.691,True,
H_0045,STAND_UP,27599004509963,,,,0.18,79.199,90.163,169.562,True,
H_0046,STAND_UP,27599274482999,,,,0.182,79.216,90.095,169.513,True,
H_0047,STAND_UP,27599544445179,,,,0.177,79.312,90.146,169.653,True,
H_0048,STAND_UP,27599814624481,,,,0.181,124.134,90.114,214.448,True,
H_0049,STAND_UP,27600129386285,,,,0.166,79.193,90.022,169.399,True,
H_0050,STAND_UP,27600399100837,,,,0.185,79.529,90.321,170.058,True,
H_0051,STAND_UP,27600669464532,,,,0.174,79.302,90.077,169.573,True,
H_0052,STAND_UP,27600939572508,,,,0.179,79.101,90.151,169.45,True,
H_0053,STAND_UP,27601209515126,,,,0.175,79.263,90.047,169.506,True,
H_0054,STAND_UP,27601479550105,,,,0.203,124.189,90.029,214.442,True,
H_0055,STAND_UP,27601794401221,,,,0.202,79.384,89.825,169.431,True,
H_0056,STAND_UP,27602064268153,,,,0.188,124.439,90.237,214.883,True,
H_0057,STAND_UP,27602379622665,,,,0.171,79.195,89.98,169.368,True,
H_0058,STAND_UP,27602649514953,,,,0.182,79.027,90.126,169.356,True,
H_0059,STAND_UP,27602919250347,,,,0.182,79.466,89.974,169.64,True,
H_0060,STAND_UP,27603189400890,,,,0.177,79.435,89.899,169.531,True,
H_0061,STAND_UP,27603459260504,,,,0.196,79.107,89.969,169.297,True,
H_0062,STAND_UP,27603729298408,,,,0.389,79.222,90.238,169.877,True,
H_0063,STAND_UP,27603999483283,,,,0.187,79.25,89.972,169.429,True,
H_0064,STAND_UP,27604269237291,,,,0.168,79.285,90.902,170.374,True,
H_0065,STAND_UP,27604540082750,,,,0.171,78.549,90.333,169.072,True,
H_0066,STAND_UP,27604809669445,,,,0.18,79.082,89.914,169.194,True,
H_0067,STAND_UP,27605079339484,,,,0.177,79.352,89.981,169.529,True,
H_0068,STAND_UP,27605349237370,,,,0.181,79.364,90.37,169.934,True,
H_0069,STAND_UP,27605619584329,,,,0.17,79.098,90.064,169.351,True,
H_0070,STAND_UP,27605889299877,,,,0.202,80.382,89.729,170.339,True,
H_0071,STAND_UP,27606160055072,,,,0.254,78.591,89.954,168.824,True,
H_0072,STAND_UP,27606429213493,,,,0.171,79.542,89.892,169.625,True,
H_0073,STAND_UP,27606699345766,,,,0.171,79.362,90.102,169.654,True,
H_0074,STAND_UP,27606969432843,,,,0.191,79.336,90.038,169.587,True,
H_0075,STAND_UP,27607239474068,,,,0.183,80.081,89.319,169.602,True,
H_0076,STAND_UP,27607509495940,,,,0.182,79.177,89.978,169.357,True,
H_0077,STAND_UP,27607779315714,,,,0.211,79.407,90.111,169.749,True,
H_0078,STAND_UP,27608049462763,,,,0.188,79.186,90.334,169.734,True,
H_0079,STAND_UP,27608319641404,,,,0.193,79.229,90.738,170.181,True,
H_0080,STAND_UP,27608590496194,,,,0.274,77.821,90.444,168.565,True,
H_0081,STAND_UP,27608859642464,,,,0.277,78.8,90.245,169.345,True,
H_0082,STAND_UP,27609129368797,,,,0.256,79.104,90.304,169.687,True,
H_0083,STAND_UP,27609399642050,,,,0.263,78.855,90.264,169.406,True,
H_0084,STAND_UP,27609669631271,,,,0.262,78.876,90.266,169.428,True,
H_0085,STAND_UP,27609939624020,,,,0.257,79.876,88.9,169.059,True,
H_0086,STAND_UP,27610209250459,,,,0.412,79.435,90.098,169.97,True,
H_0087,STAND_UP,27610479426885,,,,0.238,79.131,90.194,169.587,True,
H_0088,STAND_UP,27610749375824,,,,0.26,79.134,90.162,169.579,True,
H_0089,STAND_UP,27611019885857,,,,0.242,78.509,90.095,168.871,True,
H_0090,STAND_UP,27611289381033,,,,0.282,79.242,90.066,169.614,True,
H_0091,STAND_UP,27611559552901,,,,0.26,79.053,90.176,169.511,True,
H_0092,STAND_UP,27611829482628,,,,0.177,79.319,90.152,169.667,True,
H_0093,STAND_UP,27612099491521,,,,0.179,124.422,89.804,214.424,True,
H_0094,STAND_UP,27612414402236,,,,0.177,79.099,90.258,169.555,True,
H_0095,STAND_UP,27612684362353,,,,0.177,79.3,90.129,169.628,True,
H_0096,STAND_UP,27612954523936,,,,0.205,79.147,90.089,169.464,True,
H_0097,STAND_UP,27613224570300,,,,0.258,78.999,90.193,169.475,True,
H_0098,STAND_UP,27613494453753,,,,0.276,79.412,90.075,169.784,True,
H_0099,STAND_UP,27613764574318,,,,0.176,79.228,90.045,169.469,True,
H_0100,STAND_UP,27614034495698,,,,0.175,79.187,90.071,169.453,True,
H_0101,STAND_UP,27614304369068,,,,0.18,79.383,89.914,169.497,True,
H_0102,STAND_UP,27614574303707,,,,0.183,79.223,90.304,169.734,True,
H_0103,STAND_UP,27614844673980,,,,0.268,79.028,89.989,169.309,True,
H_0104,STAND_UP,27615114570446,,,,0.276,79.089,89.932,169.321,True,
H_0105,STAND_UP,27615384434807,,,,0.262,79.176,90.134,169.594,True,
H_0106,STAND_UP,27615654387060,,,,0.188,79.369,90.032,169.609,True,
H_0107,STAND_UP,27615924452350,,,,0.174,79.175,91.152,170.521,True,
H_0108,STAND_UP,27616195384898,,,,0.163,78.122,89.958,168.266,True,
H_0109,STAND_UP,27616464070269,,,,0.251,80.279,89.274,169.829,True,
H_0110,STAND_UP,27616734450540,,,,0.251,79.057,90.088,169.42,True,
H_0111,STAND_UP,27617004463026,,,,0.282,79.222,90.079,169.607,True,
H_0112,STAND_UP,27617274521417,,,,0.25,78.998,90.277,169.548,True,
H_0113,STAND_UP,27617544469947,,,,0.179,79.026,90.304,169.546,True,
H_0114,STAND_UP,27617814587880,,,,0.267,79.237,89.898,169.425,True,
H_0115,STAND_UP,27618084377690,,,,0.171,79.434,90.007,169.631,True,
H_0116,STAND_UP,27618354451261,,,,0.177,79.182,90.84,170.219,True,
H_0117,STAND_UP,27618625092723,,,,0.195,78.601,90.092,168.908,True,
H_0118,STAND_UP,27618894315607,,,,0.169,79.321,90.235,169.744,True,
H_0119,STAND_UP,27619164481377,,,,0.204,79.382,89.989,169.595,True,
H_0120,STAND_UP,27619434554819,,,,0.204,79.27,89.963,169.458,True,
H_0121,STAND_UP,27619704446760,,,,0.175,79.268,90.026,169.49,True,
H_0122,STAND_UP,27619974453964,,,,0.201,79.234,90.687,170.146,True,
H_0123,STAND_UP,27620245395052,,,,0.437,78.179,90.022,168.662,True,
H_0124,STAND_UP,27620514268824,,,,0.259,79.426,89.947,169.656,True,
H_0125,STAND_UP,27620784452669,,,,0.24,79.166,89.939,169.369,True,
H_0126,STAND_UP,27621054421695,,,,0.264,78.96,90.176,169.426,True,
H_0127,STAND_UP,27621324313263,,,,0.315,79.222,90.316,169.877,True,
H_0128,STAND_UP,27621594576880,,,,0.267,78.826,135.267,214.385,True,
H_0129,STAND_UP,27621909517928,,,,0.26,78.958,90.227,169.468,True,
H_0130,STAND_UP,27622179465997,,,,0.167,79.204,89.875,169.268,True,
H_0131,STAND_UP,27622449371926,,,,0.248,79.19,90.199,169.661,True,
H_0132,STAND_UP,27622719482926,,,,0.269,80.026,89.17,169.488,True,
H_0133,STAND_UP,27622989377944,,,,0.261,79.313,89.834,169.432,True,
H_0134,STAND_UP,27623259240045,,,,0.202,79.549,90.056,169.828,True,
H_0135,STAND_UP,27623529563198,,,,0.199,79.086,90.193,169.498,True,
H_0136,STAND_UP,27623799316637,,,,0.172,79.34,90.321,169.855,True,
H_0137,STAND_UP,27624069619397,,,,0.181,78.981,90.138,169.321,True,
H_0138,STAND_UP,27624339368250,,,,0.169,79.416,89.84,169.444,True,
H_0139,STAND_UP,27624609249918,,,,0.187,79.432,91.295,170.934,True,
H_0140,STAND_UP,27624880491672,,,,0.178,78.134,90.1,168.432,True,
H_0141,STAND_UP,27625149342009,,,,0.167,79.305,90.229,169.72,True,
H_0142,STAND_UP,27625419459541,,,,0.181,80.057,89.13,169.392,True,
H_0143,STAND_UP,27625689282449,,,,0.17,79.65,89.921,169.76,True,
H_0144,STAND_UP,27625959512556,,,,0.176,79.277,89.989,169.462,True,
H_0145,STAND_UP,27626229515934,,,,0.185,79.089,90.089,169.385,True,
H_0146,STAND_UP,27626499458580,,,,0.255,79.819,89.176,169.276,True,
H_0147,STAND_UP,27626769092758,,,,0.24,80.202,89.243,169.708,True,
H_0148,STAND_UP,27627039365835,,,,0.255,79.375,89.858,169.512,True,
H_0149,STAND_UP,27627309368002,,,,0.257,79.24,90.207,169.725,True,
H_0150,STAND_UP,27627579377729,,,,0.172,79.505,90.031,169.728,True,
H_0151,STAND_UP,27627849629423,,,,0.179,79.204,90.014,169.416,True,
H_0152,STAND_UP,27628119380768,,,,0.19,80.076,89.125,169.413,True,
H_0153,STAND_UP,27628389490716,,,,0.386,79.029,90.17,169.608,True,
H_0154,STAND_UP,27628659554435,,,,0.263,79.28,90.497,170.062,True,
H_0155,STAND_UP,27628930052917,,,,0.212,78.809,89.89,168.932,True,
H_0156,STAND_UP,27629199439512,,,,0.169,79.283,90.041,169.513,True,
H_0157,STAND_UP,27629469449233,,,,0.206,79.457,89.653,169.335,True,
H_0158,STAND_UP,27629739288341,,,,0.297,80.353,89.055,169.726,True,
H_0159,STAND_UP,27630009284070,,,,0.174,79.594,90.548,170.336,True,
H_0160,STAND_UP,27630279922516,,,,0.18,78.72,90.026,168.95,True,
H_0161,STAND_UP,27630549616451,,,,0.27,78.922,90.149,169.365,True,
H_0162,STAND_UP,27630819590129,,,,0.26,79.322,90.003,169.609,True,
H_0163,STAND_UP,27631089677044,,,,0.178,78.812,90.111,169.125,True,
H_0164,STAND_UP,27631359440950,,,,0.257,79.299,89.888,169.465,True,
H_0165,STAND_UP,27631629140622,,,,0.19,79.638,90.029,169.876,True,
H_0166,STAND_UP,27631899444677,,,,0.176,79.261,90.269,169.727,True,
H_0167,STAND_UP,27632169688339,,,,0.195,79.186,89.993,169.395,True,
H_0168,STAND_UP,27632439620658,,,,0.19,79.194,90.731,170.135,True,
H_0169,STAND_UP,27632710278183,,,,0.208,78.616,90.133,168.977,True,
H_0170,STAND_UP,27632979741082,,,,0.203,78.988,90.041,169.251,True,
H_0171,STAND_UP,27633249453466,,,,0.184,79.09,90.199,169.495,True,
H_0172,STAND_UP,27633519573127,,,,0.26,79.194,90.086,169.564,True,
H_0173,STAND_UP,27633789525993,,,,0.234,78.799,90.306,169.364,True,
H_0174,STAND_UP,27634059468746,,,,0.258,79.364,90.003,169.648,True,
H_0175,STAND_UP,27634329571903,,,,0.255,79.2,90.144,169.622,True,
H_0176,STAND_UP,27634599461238,,,,0.173,79.112,90.084,169.388,True,
H_0177,STAND_UP,27634869321187,,,,0.195,79.361,90.092,169.67,True,
H_0178,STAND_UP,27635139582512,,,,0.263,78.953,90.194,169.429,True,
H_0179,STAND_UP,27635409411809,,,,0.178,79.176,90.291,169.665,True,
H_0180,STAND_UP,27635679576226,,,,0.177,79.091,89.994,169.281,True,
H_0181,STAND_UP,27635949360329,,,,0.184,79.155,90.247,169.609,True,
H_0182,STAND_UP,27636219647028,,,,0.247,78.916,90.208,169.394,True,
H_0183,STAND_UP,27636489360930,,,,0.251,79.023,90.243,169.542,True,
H_0184,STAND_UP,27636759546372,,,,0.276,79.185,89.707,169.196,True,
H_0185,STAND_UP,27637029118941,,,,0.263,80.192,89.098,169.579,True,
H_0186,STAND_UP,27637299163093,,,,0.326,80.42,89.166,169.936,True,
H_0187,STAND_UP,27637569545444,,,,0.238,78.815,90.248,169.325,True,
H_0188,STAND_UP,27637839338642,,,,0.257,79.192,90.017,169.492,True,
H_0189,STAND_UP,27638109391728,,,,0.252,124.122,90.019,214.418,True,
H_0190,STAND_UP,27638424473820,,,,0.365,79.207,90.088,169.683,True,
H_0191,STAND_UP,27638694485441,,,,0.233,79.168,90.224,169.646,True,
H_0192,STAND_UP,27638964555385,,,,0.184,79.126,90.035,169.365,True,
H_0193,STAND_UP,27639234409565,,,,0.179,79.155,90.16,169.515,True,
H_0194,STAND_UP,27639504376754,,,,0.175,79.337,90.193,169.727,True,
H_0195,STAND_UP,27639774745061,,,,0.215,78.898,90.15,169.285,True,
H_0196,STAND_UP,27640044559516,,,,0.253,79.32,89.484,169.081,True,
H_0197,STAND_UP,27640314280554,,,,0.427,79.563,89.884,169.895,True,
H_0198,STAND_UP,27640584240336,,,,0.176,80.001,90.428,170.627,True,
H_0199,STAND_UP,27640855447903,,,,0.382,78.447,90.079,168.929,True,
H_0200,STAND_UP,27641124676445,,,,0.178,79.745,89.11,169.056,True,
H_0201,STAND_UP,27641394291600,,,,0.248,79.109,90.21,169.59,True,
H_0202,STAND_UP,27641664473489,,,,0.258,79.08,90.247,169.61,True,
H_0203,STAND_UP,27641934626138,,,,0.239,79.263,89.897,169.422,True,
H_0204,STAND_UP,27642204489828,,,,0.18,79.238,90.118,169.557,True,
H_0205,STAND_UP,27642474530053,,,,0.176,78.818,90.379,169.392,True,
H_0206,STAND_UP,27642744345249,,,,0.179,79.179,90.459,169.845,True,
H_0207,STAND_UP,27643014629767,,,,0.171,80.146,89.016,169.354,True,
H_0208,STAND_UP,27643284441189,,,,0.204,79.454,89.93,169.608,True,
H_0209,STAND_UP,27643554523665,,,,0.181,79.102,90.115,169.417,True,
H_0210,STAND_UP,27643824526593,,,,0.17,79.838,89.364,169.391,True,
H_0211,STAND_UP,27644094462174,,,,0.185,79.246,90.744,170.195,True,
H_0212,STAND_UP,27644365240186,,,,0.264,79.968,88.622,168.875,True,
H_0213,STAND_UP,27644634517697,,,,0.172,80.068,89.094,169.355,True,
H_0214,STAND_UP,27644904339330,,,,0.194,79.553,90.025,169.793,True,
H_0215,STAND_UP,27645174472917,,,,0.207,79.292,89.955,169.474,True,
H_0216,STAND_UP,27645444291356,,,,0.185,79.514,89.891,169.61,True,
H_0217,STAND_UP,27645714403285,,,,0.203,79.275,90.101,169.599,True,
H_0218,STAND_UP,27645984432508,,,,0.19,79.367,89.947,169.524,True,
H_0219,STAND_UP,27646254459081,,,,0.174,79.261,90.295,169.75,True,
H_0220,STAND_UP,27646524732154,,,,0.179,78.989,89.861,169.05,True,
H_0221,STAND_UP,27646794290140,,,,0.183,79.556,90.151,169.91,True,
H_0222,STAND_UP,27647064685229,,,,0.183,79.146,89.917,169.266,True,
H_0223,STAND_UP,27647334302425,,,,0.2,80.252,89.825,170.3,True,
H_0224,STAND_UP,27647605015450,,,,0.251,78.676,90.052,169.002,True,
H_0225,STAND_UP,27647874590070,,,,0.263,78.881,90.099,169.271,True,
H_0226,STAND_UP,27648144278754,,,,0.245,79.097,90.158,169.525,True,
H_0227,STAND_UP,27648414379547,,,,0.26,79.084,90.157,169.526,True,
H_0228,STAND_UP,27648684454993,,,,0.246,79.081,90.019,169.371,True,
H_0229,STAND_UP,27648954306094,,,,0.352,124.369,89.953,214.694,True,
H_0230,STAND_UP,27649269170380,,,,0.181,79.498,90.256,169.955,True,
H_0231,STAND_UP,27649539695114,,,,0.2,79.011,89.912,169.143,True,
H_0232,STAND_UP,27649809272853,,,,0.184,79.328,90.187,169.718,True,
H_0233,STAND_UP,27650079469006,,,,0.181,79.102,90.011,169.319,True,
H_0234,STAND_UP,27650349384481,,,,0.257,79.219,90.206,169.702,True,
H_0235,STAND_UP,27650619544792,,,,0.209,79.984,89.147,169.36,True,
H_0236,STAND_UP,27650889397720,,,,0.202,79.123,91.027,170.374,True,
H_0237,STAND_UP,27651160182591,,,,0.177,78.33,89.887,168.413,True,
H_0238,STAND_UP,27651428992262,,,,0.195,79.712,89.944,169.871,True,
H_0239,STAND_UP,27651699317930,,,,0.169,124.381,90.187,214.757,True,
H_0240,STAND_UP,27652014556349,,,,0.197,79.109,90.056,169.391,True,
H_0241,STAND_UP,27652284449758,,,,0.189,79.442,90.088,169.738,True,
H_0242,STAND_UP,27652554483562,,,,0.168,79.251,89.843,169.281,True,
H_0243,STAND_UP,27652824306872,,,,0.189,79.446,90.184,169.838,True,
H_0244,STAND_UP,27653094646538,,,,0.176,79.124,89.947,169.267,True,
H_0245,STAND_UP,27653364375080,,,,0.206,80.411,88.832,169.469,True,
H_0246,STAND_UP,27653634363131,,,,0.208,79.316,90.23,169.774,True,
H_0247,STAND_UP,27653904383188,,,,0.169,78.955,90.549,169.693,True,
H_0248,STAND_UP,27654174607974,,,,0.197,78.977,91.143,170.336,True,
