trial_id,endpoint,action,t_sent_ns,write_ms,ack_ms,total_ms,success,failure_reason
conc_laptop_0001,laptop,STAND_UP,19735525440795,79.03,134.25,213.3,True,
conc_laptop_0002,laptop,STAND_UP,19736740148627,78.5,90.0,168.53,True,
conc_laptop_0003,laptop,STAND_UP,19737910078948,124.3,89.19,213.5,True,
conc_laptop_0004,laptop,STAND_UP,19739125071284,78.28,135.28,213.58,True,
conc_laptop_0005,laptop,STAND_UP,19740339387761,79.85,90.2,170.06,True,
conc_laptop_0006,laptop,STAND_UP,19741510560505,122.94,90.07,213.03,True,
conc_laptop_0007,laptop,STAND_UP,19742724483143,79.04,134.97,214.03,True,
conc_laptop_0008,laptop,STAND_UP,19743939498493,78.89,90.16,169.06,True,
conc_laptop_0009,laptop,STAND_UP,19745110343369,123.07,90.13,213.22,True,
conc_laptop_0010,laptop,STAND_UP,19746324491594,78.89,135.06,213.96,True,
conc_laptop_0011,laptop,STAND_UP,19747540038004,78.54,89.96,168.52,True,
conc_laptop_0012,laptop,STAND_UP,19748709304883,124.21,90.2,214.42,True,
conc_laptop_0013,laptop,STAND_UP,19749925081221,78.48,135.02,213.51,True,
conc_laptop_0014,laptop,STAND_UP,19751139309647,79.16,90.04,169.22,True,
conc_laptop_0015,laptop,STAND_UP,19752310145200,123.45,89.91,213.37,True,
conc_laptop_0016,laptop,STAND_UP,19753524389414,80.05,134.36,214.43,True,
conc_laptop_0017,laptop,STAND_UP,19754740405321,78.25,90.95,169.21,True,
conc_laptop_0018,laptop,STAND_UP,19755910738099,122.67,91.11,213.8,True,
conc_laptop_0019,laptop,STAND_UP,19757125278426,78.21,136.12,214.34,True,
conc_laptop_0020,laptop,STAND_UP,19758341077773,78.37,88.93,167.32,True,
conc_laptop_0021,laptop,STAND_UP,19759509365908,125.08,90.0,215.1,True,
conc_laptop_0022,laptop,STAND_UP,19760725409505,77.92,136.04,213.98,True,
conc_laptop_0023,laptop,STAND_UP,19761940257094,78.01,90.26,168.28,True,
conc_laptop_0024,laptop,STAND_UP,19763109296399,125.05,90.05,215.11,True,
conc_laptop_0025,laptop,STAND_UP,19764325397822,78.26,136.04,214.32,True,
conc_laptop_0026,laptop,STAND_UP,19765541191543,77.28,90.91,168.21,True,
conc_laptop_0027,laptop,STAND_UP,19766710857053,122.62,90.94,213.58,True,
conc_laptop_0028,laptop,STAND_UP,19767925261148,78.19,137.07,215.27,True,
conc_laptop_0029,laptop,STAND_UP,19769141313571,77.2,91.08,168.3,True,
conc_laptop_0030,laptop,STAND_UP,19770311359672,123.3,89.99,213.3,True,
conc_laptop_0031,laptop,STAND_UP,19771525394852,79.06,136.09,215.17,True,
conc_laptop_0032,laptop,STAND_UP,19772741475763,77.07,91.04,168.12,True,
conc_laptop_0033,laptop,STAND_UP,19773910290177,124.01,90.1,214.12,True,
conc_laptop_0034,laptop,STAND_UP,19775125320551,77.95,136.3,214.26,True,
conc_laptop_0035,laptop,STAND_UP,19776340278701,78.04,91.09,169.15,True,
conc_laptop_0036,laptop,STAND_UP,19777510354515,122.98,91.46,214.45,True,
conc_laptop_0037,laptop,STAND_UP,19778725352518,78.09,136.16,214.27,True,
conc_laptop_0038,laptop,STAND_UP,19779940331204,79.17,90.02,169.21,True,
conc_laptop_0039,laptop,STAND_UP,19781111238070,122.24,90.94,213.2,True,
conc_laptop_0040,laptop,STAND_UP,19782325264445,78.24,136.01,214.26,True,
conc_laptop_0041,laptop,STAND_UP,19783540288264,78.28,90.92,169.22,True,
conc_laptop_0042,laptop,STAND_UP,19784710402561,123.09,91.07,214.18,True,
conc_laptop_0043,laptop,STAND_UP,19785925453561,78.11,135.89,214.01,True,
conc_laptop_0044,laptop,STAND_UP,19787140360990,78.88,91.34,170.23,True,
conc_laptop_0045,laptop,STAND_UP,19788311724189,122.74,90.1,212.85,True,
conc_laptop_0046,laptop,STAND_UP,19789526035627,78.49,136.23,214.74,True,
conc_laptop_0047,laptop,STAND_UP,19790742238483,76.42,91.99,168.42,True,
conc_laptop_0048,laptop,STAND_UP,19791911346631,121.95,91.05,213.02,True,
conc_laptop_0049,laptop,STAND_UP,19793125245955,79.19,135.14,214.35,True,
conc_laptop_0050,laptop,STAND_UP,19794340342029,78.92,90.3,169.24,True,
conc_laptop_0051,laptop,STAND_UP,19795510348690,123.01,91.37,214.39,True,
conc_laptop_0052,laptop,STAND_UP,19796726234745,77.2,136.3,213.52,True,
conc_laptop_0053,laptop,STAND_UP,19797940355360,79.22,90.07,169.3,True,
conc_laptop_0054,laptop,STAND_UP,19799111045704,123.37,90.99,214.37,True,
conc_laptop_0055,laptop,STAND_UP,19800326341947,77.1,136.16,213.27,True,
conc_laptop_0056,laptop,STAND_UP,19801540977891,77.69,90.86,168.56,True,
conc_laptop_0057,laptop,STAND_UP,19802710437422,122.95,91.19,214.16,True,
conc_laptop_0058,laptop,STAND_UP,19803926110819,79.31,134.01,213.34,True,
conc_laptop_0059,laptop,STAND_UP,19805141021975,78.41,90.07,168.49,True,
conc_laptop_0060,laptop,STAND_UP,19806311309275,122.19,91.91,214.12,True,
conc_laptop_0061,laptop,STAND_UP,19807526959759,77.38,135.24,212.64,True,
conc_laptop_0062,laptop,STAND_UP,19808741129498,77.34,91.04,168.41,True,
conc_laptop_0063,laptop,STAND_UP,19809911144940,122.35,90.11,212.48,True,
conc_laptop_0064,laptop,STAND_UP,19811125169543,79.38,135.11,214.51,True,
conc_laptop_0065,laptop,STAND_UP,19812341332092,77.93,90.34,168.29,True,
conc_laptop_0066,laptop,STAND_UP,19813510414189,122.99,91.2,214.2,True,
conc_laptop_0067,laptop,STAND_UP,19814726046734,77.48,135.08,212.58,True,
conc_laptop_0068,laptop,STAND_UP,19815939329413,80.21,90.05,170.28,True,
conc_laptop_0069,laptop,STAND_UP,19817111284008,122.25,91.0,213.27,True,
conc_laptop_0070,laptop,STAND_UP,19818326048860,77.43,136.1,213.55,True,
conc_laptop_0071,laptop,STAND_UP,19819541068105,77.31,91.17,168.49,True,
conc_laptop_0072,laptop,STAND_UP,19820711159611,122.35,90.95,213.31,True,
conc_laptop_0073,laptop,STAND_UP,19821925438990,78.84,136.17,215.03,True,
conc_laptop_0074,laptop,STAND_UP,19823141515308,77.16,90.87,168.05,True,
conc_laptop_0075,laptop,STAND_UP,19824310626241,122.67,92.14,214.82,True,
conc_laptop_0076,laptop,STAND_UP,19825527035266,77.47,135.02,212.51,True,
conc_laptop_0077,laptop,STAND_UP,19826740343470,78.14,91.98,170.14,True,
conc_laptop_0078,laptop,STAND_UP,19827911381905,123.06,90.09,213.18,True,
conc_laptop_0079,laptop,STAND_UP,19829125684036,77.65,136.13,213.8,True,
conc_laptop_0080,laptop,STAND_UP,19830340431479,77.8,91.14,168.96,True,
conc_laptop_0081,laptop,STAND_UP,19831510482247,123.77,90.08,213.87,True,
conc_laptop_0082,laptop,STAND_UP,19832725718684,77.92,135.85,213.81,True,
conc_laptop_0083,laptop,STAND_UP,19833941321997,77.94,90.21,168.16,True,
conc_laptop_0084,laptop,STAND_UP,19835110411601,124.0,89.99,214.01,True,
conc_laptop_0085,laptop,STAND_UP,19836325955914,78.4,135.08,213.49,True,
conc_laptop_0086,laptop,STAND_UP,19837540423880,77.82,91.42,169.26,True,
conc_laptop_0087,laptop,STAND_UP,19838710492033,122.86,92.17,215.05,True,
conc_laptop_0088,laptop,STAND_UP,19839927017646,77.43,136.04,213.49,True,
conc_laptop_0089,laptop,STAND_UP,19841141399012,77.99,90.0,168.01,True,
conc_laptop_0090,laptop,STAND_UP,19842310433612,122.86,91.17,214.04,True,
conc_laptop_0091,laptop,STAND_UP,19843526062224,77.47,137.11,214.6,True,
conc_laptop_0092,laptop,STAND_UP,19844741351155,78.0,91.22,169.24,True,
conc_laptop_0093,laptop,STAND_UP,19845911480224,121.76,91.27,213.06,True,
conc_laptop_0094,laptop,STAND_UP,19847126101184,77.45,135.95,213.42,True,
conc_laptop_0095,laptop,STAND_UP,19848340401913,77.88,92.03,169.93,True,
conc_laptop_0096,laptop,STAND_UP,19849511773190,122.64,90.18,212.84,True,
conc_laptop_0097,laptop,STAND_UP,19850725657321,77.82,136.1,213.94,True,
conc_laptop_0098,laptop,STAND_UP,19851940641611,78.56,91.62,170.21,True,
conc_laptop_0099,laptop,STAND_UP,19853112428790,121.04,91.31,212.36,True,
conc_laptop_0100,laptop,STAND_UP,19854326050665,77.28,136.05,213.35,True,
conc_replay_001,laptop,REPLAY_TEST,,,,,True,
conc_replay_001_replay,laptop,REPLAY_REJECT_TEST,,,,,False,expected rejection — server counter check
